decade,polityid,official labels 1,description,gemini15f_5l_phase,claude35s_5l_phase,gpt4_5l_phase,gemini15f_5l_explanation,claude35s_5l_explanation,gpt4_5l_explanation,gemini15f_3l_labels,claude35s_3l_labels,gpt4_3l_labels,gemini15f_3l_explanation,claude35s_3l_explanation,gpt4_3l_explanation,r1_3l_labels,r2 3l_labels,r3_3l_labels,r1_3l_explanation,r2_3l_explanation,r3_3l_explanation,r4_5l_label,r6_5l_label,r5_5l_labels,r4_5l_explanation,r5_5l_explanation,r6_5l_explanation,errors_llms_5l,errors_llms_3l,errors_hum_5l,errors_hum_3l
1980,CnPrcr*,2,Deng Xiaoping (r.1982-1987) led the Chinese economic reform period and opening-up. 4 modernization program (to improve agriculture  industry  defense  and science-technology). Tiananmen Square Incident in 1989. Students protested against corruption and inflation and in favor of joining global capitalist market after the fall of USSR  but were massacred by the army.,1,2,2,(growth) - Economic reforms and opening up,"(immiseration) - Economic reforms, social tensions (Tiananmen)","(immiseration) - Economic reforms, modernization efforts, Tiananmen Square Incident",0,1,0,"(rise) - Deng Xiaoping's reforms, Tiananmen Square","(apex) - Economic reforms, emerging tensions","(rise) - Economic reform period, Tiananmen Square Incident",1,2,0,"4 modernization program, Tiananmen Square incident in 1989 and massacre of protesting students",Economic reforms and modernization programs althought Tiananmen Square Incident,"New modernization plan, small sore point: students massacred by the army",1,1,2,economy recovery,inflation,Chinese economic reform,"(growth) - Commercial and cultural development, though with autocratic tendencies",(rise) - Military consolidation,earthquake and social problems,"The Later Jin dynasty was founded, they defeated Liao in 1115 and Northern Song in 1127"
1990,CnPrcr*,2,Jiang Zemin (r. 1993-2002) promoted One country  two systems policy (governance of the special administrative regions of Hong Kong and Macau. Hong Kong re-entred in RPC in 1997) and Socialism with Chinese characteristics policy (use market to foster growth and foreign investment to achieve communist monopoly on economic and political power),2,2,2,(immiseration) - One country,(immiseration) - Market reforms with state control,"(immiseration) - One country, two systems policy and economic consolidation under socialism with Chinese characteristics",1,1,0,"(apex) - Economic growth, Hong Kong handover","(apex) - Market reforms, power consolidation","(rise) - One country two systems policy, Socialism with Chinese characteristics policy",1,2,1,One country two systems policy,One country two systems policy,Stabilization of the economy and growth of investments and the market,1,2,3,"economy recovery, new politics ideas",financial crisis,Socialism,"(Elite Overproduction) Trade network protected, support for merchants, economic growth, Chinese advisors","(decline) - Military defeat, cultural exchange",SARS outbreak and Sichuan earthquake,"Victory of the Jin in Han, growth of the markets"
2000,CnPrcr*,3,Hu Jintao (r. 2003-2013) reintroduced state control in some sectors of the fast growing economy  promoted infrastructure projects (South–North Water Transfer  Shenzhou 5 space shuttle) and events (olympics in 2008) but had to deal with SARS outbreak in 2003 and Sichuan earthquake in 2008.,2,3,3,(immiseration) - Continued economic growth,"(elite overproduction) - State control increase, infrastructure projects",(elite overproduction) - Economic growth with state control and significant projects,1,2,1,"(apex) - Continued growth, infrastructure projects, SARS outbreak","(decline) - State control increase, natural disasters","(apex) - Reintroduction of state control, infrastructure projects",1,2,1,promoted infrastructure projects and events but SARS outbreak and Sichuan earthquake,Fast growing economy promoted infrastructure projects,"Some rapidly growing sectors of the economy, the Olympics, small sore points::sars and earthquakes",1,2,4,"opening border, tecnical develop",earthquake and social problems,SARS outbreak and Sichuan earthquake,(elite overproduction) - Financial crisis,(apex) - Religious and political authority,"less fredom,violence","integration problems, Jurchen farmers lease the work to Chinese farmers"
2010,CnPrcr*,3,Xi Jinping (r. 2013-2024) gradually reversed some of the reforms made during the Boluan Fanzheng period  giving less freedm to the country. he ran an anti-corruption campaign and a massacre of the Uyghur minority. he was involved in the China–USA trade war (war on tariffs on imports to US to slow the growth of China). protests in Hong Kong for the extradition.,3,4,4,(elite overproduction) - Xi Jinping's consolidation of power,"(state stress) - Anti-corruption campaigns, social control, trade wars","(state stress) - Xi Jinping's regime tightening control, China–USA trade war, protests in Hong Kong",2,2,2,"(decline) - Xi Jinping's consolidation of power, trade war, social unrest","(decline) - Increased authoritarianism, trade wars","(decline) - Reduced freedom, anti-corruption campaign, China–USA trade war",2,2,2,"less freedom of the country, massacre of the Uyghur minority, China-USA War","Reforms led to less freedom to the country, massacre minorities and China–USA trade war","massacres, China-USA trade war",2,3,0,"less fredom,violence",less freedon and crisis,"anti-corruption campaign, massacre of the Uyghur minority","(immiseration) - Financial problems, debt accumulation",(rise) - Political/religious integration,less freedon and crisis,paper factory in Hangzhou employed more than a thousand Chinese workers. Integrtion problems
1820,MxMexRe,1,"the mexican population (creoles white landowners + mestizos + catholic priests + indigenous) obtains independence from the previous elite (spaniards) with the  Treaty of Córdoba. Federal constitution. Bazant, Jan. ""From Independence to the Liberal Republic, 1821-1867"" in Mexico Since Independence, Leslie Bethell, ed. Cambridge: Cambridge University Press 1991, pp. 1-3",0,0,1,(crisis) - Independence from Spain,"(crisis) - Independence from Spain, new constitution","(growth) - Independence from Spain, formation of federal constitution",0,0,0,"(rise) - Independence from Spain, Federal Constitution","(rise) - Independence, new constitution, new elite formation","(rise) - Independence from Spaniards, establishment of federal constitution",0,0,0,indipendence from the previous elite,Mexican population obtains independence,New Mexican independence,1,1,0,Freedom,caothic crisis,Indipendence with Treaty of Cordoba,"(State stress) Debt, public discontent, political favoritism from Emperor to concubine family","(decline) - Social and power dynamics continue, religious power blends with political","anti-corruption campaign, massacre of the Uyghur minority","The new emperor distributes new territories, new paper factories and job growth"
1830,MxMexRe,1,the new elite is military. General Santa Anna abrogates the federal constitution to centrlaize the state. there are insurgencies and Texas becomes independent.,0,1,1,(crisis) - Santa Anna's rule,(growth) - Military consolidation under Santa Anna,"(growth) - Centralization under military elite, insurgency leading to Texas' independence",1,1,1,"(apex) - Santa Anna's centralization, Texas independence","(apex) - Centralization attempts, initial conflicts","(apex) - Military rule, centralization of power, insurgencies",1,1,1,"new elite is military, various insurgencies",Centralized administrative systems,"New military elite, insurrections, independent Texas",2,2,0,"military power, fight",military elite,Abrogation of the federeal constitution,(state stress) - Toghon Temür's rule,"(decline) - Epidemic, food shortage",French intervention,reintroduced Confucian examination and executed corrupted generals but revolts started from the Chinese minorities
1840,MxMexRe,1,mexican-american war. US wins. mexico loses territories and people.,0,2,0,(crisis) - Mexican-American War,(immiseration) - Mexican-American war losses,"(crisis) - Mexican-American war, loss of territories and people",2,2,2,"(decline) - Mexican-American War, loss of territory","(decline) - Territory losses, military defeats","(decline) - Mexican-American war, territorial loss",2,2,2,"mexican-american war, mexico loses",Mexico lose the mexican-american war and territories,"Lost war, loss of population and territories",2,2,0,mexican lost war,mexico lose territories,"Mexican-American War, loss of territories","(elite overproduction) - Despotic rule, purges, natural disasters","(apex) - Economic stress, food crisis",stop civil war and kick out french,"a coup involving five princes from rival faction steppe elite opposed to Confucian reforms, placed Yesün Temür as emperor. Revolts started from the Chinese minorities"
1850,MxMexRe,1,"sale of northern territories to the US to refund the state and army. outrage against president general Santa Anna. liberals force him into exile and begin plan of ayutla reforms. Pani, Erika. ""Revolution of Ayutla"" in Encyclopedia of Mexico Chicago: Fitzroy Dearborn 1997, p. 119.",1,2,1,(growth) - Plan de Ayutla reforms.,"(immiseration) - Territory sales, reforms","(growth) - Reform movements, ousted president Santa Anna",0,2,0,(rise) - Plan de Ayutla reforms,"(decline) - Financial crisis, political instability","(rise) - Sale of territories, ousting of president, reforms",2,2,0,sale of territories to the US,"sale of northern territories to the US to refund the state and army, Revolution of Ayutla","Reimbursement of expenses to Americans, new revolutionary reform",3,3,0,sales territory,exile of Stanta Anna,"sale of northern territories, rise of a liberal elite","(Crisis) Despotic rule of Emperor Toghon Temür sparking revolt, natural disasters causing famine","(rise) - Military innovation, infrastructure improvements","Maximilian's regime, French intervention","New emperor, killing of corrupt generals, revolts of Chinese minorities"
1860,MxMexRe,2,French intervention in Mexico with new french liberal elite with emperor Maximilian that contiues the reform and exploit commercial raw material and routes until the US finish the civil war and ask french to leave.,1,3,2,(growth) - French intervention and subsequent removal.,"(elite overproduction) - French intervention, competing elites","(immiseration) - French intervention, exploitation of resources by new elite",0,2,1,"(rise) - French intervention, Maximilian's rule",(decline) - Foreign intervention,"(apex) - French intervention, elite replacement, economic reforms",0,2,0,french intervention that continues the reform,French intervention,"French intervention aimed at helping, Americans order the French to leave",4,3,1,French intervention,stop civil war and kick out french,"Maximilian's regime, French intervention",(crisis) - Red Turban Rebellion.,"(apex) - Trade agreement with Carthage, coinage","violence, new elite",construction of the original Roman Senate House
1870,MxMexRe,2,"president  Porfirio Díaz starts reforms to improve rule by law suppression of violence and modernization of the country. the new elite are again mexican technocrats. William Beezley, and Michael Meyer, eds. The Oxford History of Mexico (2nd ed. 2010) ch 13.",2,3,2,(immiseration) - Diaz's reforms,"(elite overproduction) - Diaz reforms, technocratic elite","(immiseration) - Reforms under president Porfirio Díaz, modernization and suppression of violence",1,0,0,"(apex) - Porfirio Díaz's rule, modernization","(rise) - New reforms, modernization under Díaz","(rise) - Rise of President Porfirio Diaz, reforms to improve rule of law",0,2,1,improve rule by law suppression of violence and modernization of the country,"reforms to improve rule by law suppression of violence and modernization of the country, new elite are again mexican technocrats","new reforms aimed at improving the rule of law, repressing violence and increasing the modernization of the country",0,1,2,"violence, new elite",law suppression,Porfirio reforms create stability and modernization,"(state stress) - Widespread rebellion, weakening central authority","(rise) - International agreements, monetary reforms",law suppression,construction of the original Roman Senate House
1880,MxMexRe,3,in the north there were factories producing machinery textiles and beer while smelters processed ores like copper. urban Mexicans debated national identity the rejection of indigenous cultures the new passion for French culture. commerce with US was good.,2,4,3,(immiseration) - Economic expansion in the north,"(state stress) - Social tensions, identity debates","(elite overproduction) - Industrialization, cultural shifts due to influence of foreign cultures",1,0,0,"(apex) - Economic growth, social tensions","(rise) - Industrial development, economic growth","(rise) - Industrialization, cultural debates, good commerce with US",0,0,1,commerce was good,"factories production and commerce with US was good, debate of national identity","New factories in the secondary sector, good trade with the USA",1,1,2,"econoimy develope,cultural increases",copper and machine producer,Industrial development ,"(Immiseration) Power instability and social unrest, spread of Bubonic plague","(decline) - External threats, military conflicts, socio-political transformations",Porfirio reforms create stability and modernization,"Construction of the Roman Senate House, coronation of the leader Alba Longa in the Senate"
1890,MxMexRe,3,Population growth and concentration of land in a few families generated a commercial expansion that undercut the south and the villages,3,4,3,(elite overproduction) - Growing social tensions due to land concentration.,"(state stress) - Land concentration, commercial pressures","(elite overproduction) - Population growth, concentration of land in few families, expansion of commercial sector",1,1,1,"(apex) - Continued growth, land concentration","(apex) - Land concentration, social inequalities","(apex) - Concentration of land in few families, commercial expansion",1,1,1,population growth and commercial expansion that undercut the south,Population growth and commercial expansion,"population growth, commercial expansion",2,2,2,"economy in few hands, social division",population grow,Commercial expansion create social tensions between north and south,(elite overproduction) - Conquest of Alba Longa,(apex) - Battle of Trifanum,"new politics, education, integration",Battle of the Cremera between the Roman Republic and the Etruscan city of Veii. Etruscan win
1900,MxMexRe,4,"villagers expressed their rage in revolutionary assaults on local rich elites. The young men were radicalized and wanted traditional roles regarding land community and patriarchy. John Tutino, ""From Involution to Revolution in Mexico: Liberal Development, Patriarchy, and Social Violence in the Central Highlands, 1870–1915,"" History Compass (2008) pp 796–842.",3,4,4,(elite overproduction) - Revolutionary uprisings against elites.,(state stress) - Growing social unrest,"(state stress) - Peasant revolts against elites, radicalization of young men wishing to return to traditional roles",2,2,1,"(decline) - Rural unrest, Díaz's overthrow","(decline) - Social unrest, revolutionary movements","(apex) - Outrage, young men radicalization",2,1,2,revolutionary assaults by the villagers,"Assaults on local rich elite, Liberal Development, Patriarchy, and Social Violence",Villagers go against modernization,3,3,3,"revolution, cultural radicalization",revolutionary assaults,Revolts against local elites,"(state stress) - Continued warfare, absorption of Alba Longa",(rise) - Territorial consolidation,new reform,Rome lose a battle against Etruscan
1910,MxMexRe,0,riots brake out after the fraud election of president Diaz who resigned. his oppositor was killed and political instability led to civil war. US supported federal constitutionalists. that went to the power with The Mexican Constitution of 1917.,0,0,0,(crisis) - Mexican Revolution.,(crisis) - Mexican Revolution,"(crisis) - Political instability leading to civil war, formation of new Mexican constitution",2,2,2,"(decline) - Mexican Revolution, civil war","(decline) - Revolution, civil war","(decline) - Political instability, civil war",2,2,2,civil war, Political instability led to civil war,"riots lead to the killing of a political opponent which culminate in a civil war, USA sides with the feds",4,0,4,"riot, violenc, civil war",mexican revolution,"mexican revolution, political instability","(crisis) - assassination of the king, the rise of a regent","(decline) - Internal tensions, use of military force to control subjects",post- revolution,Defeat of the Romans against the Etruscans
1920,MxMexRe,1,the new president Obregòn started new reforms as the integration of organized labor into political life the improvement of education and international diplomacy. counter revolution to stop anticlericalism (cristero war) is resolved diplomaticlly with reforms and the help of US.,1,1,1,(growth) - Post-revolutionary reforms under Obregón.,"(growth) - Post-revolution reforms, integration","(growth) - Administrative and economic reforms, melding organized labour into political life",0,0,0,"(rise) - Post-revolutionary reforms, political stability","(rise) - New reforms, stabilization","(rise) - New reforms, counter revolution, improved relationships with US",0,0,0,"improvement of education and international diplomacy, stop anticlericalism",With the mexican Constitution in 1917 supported by the US the new president Obregòn started new reforms,"New president who makes everyone agree, disputes are resolved diplomatically",0,1,4,"new politics, education, integration",new reform,post- revolution,(elite overproduction) - Construction of Curia Hostilia.,"(decline) - Battle of Lautulae, Via Appia, aqueduct","good interpolitics,",The Romans were defeated by Brennus of Senones in the Battle of Allia River
1930,MxMexRe,1,"founded the PNR (then PRI) the first left party of Mexico. nationalization of oil company. propaganda by nazi and fascist regimes. Mexico sells oil to Germany and Italy. Smith, Peter H. (April 1996). Talons of the Eagle: Dynamics of U.S. – Latin American Relations (2nd ed.). Oxford University Press, USA. p. 79",1,1,1,(growth) - Institutionalization of PRI,"(growth) - PRI formation, oil nationalization","(growth) - Continued political shifts to the right, private industrial growth",0,0,1,"(rise) - PRI founded, nationalization of oil","(rise) - Political consolidation, nationalization","(apex) - Founded the PNR, nationalization of oil, increased Nazi and fascist propaganda",1,1,1,propaganda by nazi and fascist regimes,"Nationalization of oil company, propaganda by nazi and fascist regimes","Foundation of the PNR, sale of oil to Germany, economic growth",1,1,4,economy develop,PNR founded,founded the PNR,"(state stress) - Senate expansion, power consolidation",(apex) - Infrastructure development despite losses,minor conflicts,The Romans were defeated by Brennus of Senones in the Battle of Allia Rive
1940,MxMexRe,2,"president Camacho stopped autarchy. good relations with US, the Bracero Program started mexican immigrant workers to the US. Mexico was against germany and hosted spanish jews. minor combat in ww2 with the Escuadrón 201 also known as the Aztec Eagles",2,2,2,(immiseration) - World War II involvement,"(immiseration) - Economic changes, bracero program","(immiseration) - Improved US relations, issues with oil exploitation and ownership",1,0,1,"(apex) - WWII participation, economic growth","(rise) - International integration, economic growth","(apex) - Worker immigration, Mexico against Germany, increased support for Jews",2,1,1,"minor combat in ww2, good relation with US","President Camacho stopped autarchy, Bracero Program started mexican immigrant workers to the US","Stop autarky, good relations with the USA, help for persecuted Jews",1,2,0,"good interpolitics, ",minor conflicts,"Despite economic growth, social inequity","(growth) - building institutions, incorporation of important leaders into the senate","(rise) - Significant military victories, improvements in infrastructure","Despite economic growth, social inequity","Romans defeated at Allia, Rome besieged, poor health conditions, Roman victory against Brenno thanks to the return of Marcus Furius Camillio"
1950,MxMexRe,2,political turn to right wing. great private industrialization in the north. Green Revolution aimed at expanding commercially oriented highly mechanized agribusiness in the south.,2,2,2,(immiseration) - Political shift to the right,"(immiseration) - Right-wing turn, industrial focus","(immiseration) - Reduced agricultural production, shift to high-value fruit and vegetable exports",1,1,2,"(apex) - Industrialization, Green Revolution","(apex) - Industrialization, economic expansion","(decline) - Political turn to right wing, great private industrialization, protests",0,1,1,Green Revolution,Private industrialization and green Revolution,Growth and expansion of agri-food mechanization,1,2,1,"economy progression, political change",green revolution,Industralization and Green Revolution,(state stress) - Death of Tullus Hostilius,(decline) - End of Second Samnite War,economy and politics restart,Romans are badly beaten by Samnites in the Battle of Lautulae
1960,MxMexRe,3,"growth of exports to the U.S. of high value fruits and vegetables, with rural credit going to large producers, not peasant agriculture. prices kept artificially low.",2,3,3,(immiseration) - Export growth,"(elite overproduction) - Export focus, price controls","(elite overproduction) - Inflation, high debts, Mexican peso crisis",1,1,2,(apex) - Export-led growth,"(apex) - Export growth, emerging inequalities","(decline) - Growth of exports, rural credit to large producers",0,1,1,"low prices, growth of export to the US","Growth of exports, prices kept artificially low","Growth in exports to the USA, low prices",1,2,1,"economy progression, export",exports grow,Export  growth and credit concentration,"(crisis) - Death of ruler, religious crisis",(apex) - Military recovery but financial stress,oil monopoly,Romans are badly beaten by Samnites in the battle of Lautulae
1970,MxMexRe,3,economic crises due to inflation and high debts. nationalization of mexico bank. devaluation of peso after strong inflation. Robert E. Looney (1985). Economic Policymaking in Mexico: Factors Underlying the 1982 Crisis. Duke University Press. p. 46,3,3,3,(elite overproduction) - Economic crisis,"(elite overproduction) - Economic crises, bank nationalization","(elite overproduction) - Continued economic crises, nationalization of Mexican bank",2,2,2,"(decline) - Economic crisis, debt","(decline) - Economic crisis, inflation","(decline) - Economic crises, nationalization of banks, devaluation of peso",1,2,2,"economic crises (inflation and high debts), strong inflation",Economic crises due to inflation and high debts,Economic crisis and inflation,2,3,2,"economy crisis,inflation, debts",inflation and debt,"Economic crisis, inflation, debt","(growth) - the king restores and promotes traditional religious practices, cultural assimilation","(rise) - Successful peace treaties, improvements in military fortification","PRI return, oil monopoly","Harsh defeat of the Romans by the Samnites, construction of new aqueducts, abolition of the nexum"
